과,국명,학명,천연기념물,멸종위기야생생물,해양보호생물,
꿩과,들꿩,Tetrastes bonasia,
,멧닭,Lyrurus tetrix,
,메추라기,Coturnix japonica,
,꿩,Phasianus colchicus,
오리과,흑기러기,Branta bernicla,천,II,
,흰얼굴기러기,Branta leucopsis,
,캐나다기러기,Branta hutchinsii,
,캐나다기러기,Branta hutchinsii leucopareia,
,꼬마캐나다기러기,Branta hutchinsii minima,
,긴목캐나다기러기,Branta hutchinsii taverneri,
,붉은가슴기러기,Branta ruficollis,
,줄기러기,Anser indicus,
,흰머리기러기,Anser canagicus,
,흰기러기,Anser caerulescens,
,회색기러기,Anser anser,
,개리,Anser cygnoides,천,II,
,큰기러기,Anser fabalis,,II,
,큰기러기,Anser fabalis serrirostris,,II,
,큰부리큰기러기,Anser fabalis middendorffii,,II,
,쇠기러기,Anser albifrons,
,흰이마기러기,Anser erythropus,,II,
,혹고니,Cygnus olor,천,I,
,고니,Cygnus columbianus,천,I,
,큰고니,Cygnus cygnus,천,II,
,혹부리오리,Tadorna tadorna,
,황오리,Tadorna ferruginea,
,원앙사촌,Tadorna cristata,
,원앙,Aix galericulata,천,
,흰얼굴아기오리,Nettapus coromandelianus,
,가창오리,Sibirionetta formosa,
,발구지,Spatula querquedula,
,넓적부리,Spatula clypeata,
,알락오리,Mareca strepera,
,청머리오리,Mareca falcata,
,홍머리오리,Mareca penelope,
,아메리카홍머리오리,Mareca americana,
,흰뺨검둥오리,Anas zonorhyncha,
,청둥오리,Anas platyrhynchos,
,미국오리,Anas rubripes,
,고방오리,Anas acuta,
,쇠오리,Anas crecca,
,미국쇠오리,Anas carolinensis,
,붉은부리흰죽지,Netta rufina,
,큰흰죽지,Aythya valisineria,
,미국흰죽지,Aythya americana,
,흰죽지,Aythya ferina,
,붉은가슴흰죽지,Aythya baeri,,II,
,적갈색흰죽지,Aythya nyroca,
,북미댕기흰죽지,Aythya collaris,
,댕기흰죽지,Aythya fuligula,
,검은머리흰죽지,Aythya marila,
,쇠검은머리흰죽지,Aythya affinis,
,호사북방오리,Somateria spectabilis,
,흰줄박이오리,Histrionicus histrionicus,
,흰이마검둥오리,Melanitta perspicillata,
,검둥오리사촌,Melanitta stejnegeri,
,검둥오리,Melanitta americana,
,바다꿩,Clangula hyemalis,
,꼬마오리,Bucephala albeola,
,흰뺨오리,Bucephala clangula,
,북방흰뺨오리,Bucephala islandica,
,흰비오리,Mergellus albellus,
,비오리,Mergus merganser,
,바다비오리,Mergus serrator,
,호사비오리,Mergus squamatus,천,I,
쏙독새과,쏙독새,Caprimulgus jotaka,
칼새과,작은칼새,Aerodramus brevirostris,
,바늘꼬리칼새,Hirundapus caudacutus,
,흰배칼새,Tachymarptis melba,
